,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,rain,snow
faya,"{'lon': 42.45, 'lat': 18.39}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,"{'temp': 286.66, 'pressure': 1026, 'humidity': 100, 'temp_min': 286.15, 'temp_max': 287.15}",9000,"{'speed': 2.6, 'deg': 180}",{'all': 75},1574807317,"{'type': 1, 'id': 7396, 'country': 'SA', 'sunrise': 1574825009, 'sunset': 1574865134}",10800,110690,Faya,,
kilifi,"{'lon': 39.85, 'lat': -3.63}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 300.43, 'pressure': 1010, 'humidity': 82, 'temp_min': 300.43, 'temp_max': 300.43, 'sea_level': 1010, 'grnd_level': 1009}",,"{'speed': 8.06, 'deg': 24}",{'all': 33},1574807318,"{'country': 'KE', 'sunrise': 1574823546, 'sunset': 1574867845}",10800,192067,Kilifi,{'3h': 1.31},
verkhnevilyuysk,"{'lon': 120.31, 'lat': 63.45}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",model,"{'temp': 252.07, 'pressure': 1019, 'humidity': 92, 'temp_min': 252.07, 'temp_max': 252.07, 'sea_level': 1019, 'grnd_level': 1003}",,"{'speed': 4.54, 'deg': 241}",{'all': 100},1574807319,"{'country': 'RU', 'sunrise': 1574816111, 'sunset': 1574836650}",32400,2013639,Verkhnevilyuysk,,{'3h': 0.13}
bluff,"{'lon': 149.07, 'lat': -23.58}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",model,"{'temp': 296.44, 'pressure': 1013, 'humidity': 77, 'temp_min': 296.44, 'temp_max': 296.44, 'sea_level': 1013, 'grnd_level': 993}",,"{'speed': 0.78, 'deg': 120}",{'all': 55},1574807322,"{'country': 'AU', 'sunrise': 1574795326, 'sunset': 1574843627}",36000,2175403,Bluff,,
atuona,"{'lon': -139.03, 'lat': -9.8}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 299.64, 'pressure': 1011, 'humidity': 72, 'temp_min': 299.64, 'temp_max': 299.64, 'sea_level': 1011, 'grnd_level': 1010}",,"{'speed': 4.93, 'deg': 61}",{'all': 10},1574807323,"{'country': 'PF', 'sunrise': 1574779490, 'sunset': 1574824944}",-34200,4020109,Atuona,,
dingzhou,"{'lon': 115, 'lat': 38.51}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 268.15, 'pressure': 1038, 'humidity': 62, 'temp_min': 268.15, 'temp_max': 268.15}",6000,"{'speed': 4, 'deg': 310}",{'all': 0},1574807324,"{'type': 1, 'id': 9615, 'country': 'CN', 'sunrise': 1574810041, 'sunset': 1574845270}",28800,1812728,Dingzhou,,
hermanus,"{'lon': 19.24, 'lat': -34.42}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 287.97, 'pressure': 1011, 'humidity': 93, 'temp_min': 287.04, 'temp_max': 288.71}",,"{'speed': 0.45, 'deg': 93, 'gust': 1.34}",{'all': 0},1574807325,"{'type': 3, 'id': 2006131, 'country': 'ZA', 'sunrise': 1574825102, 'sunset': 1574876184}",7200,3366880,Hermanus,,
ribeira grande,"{'lon': -28.7, 'lat': 38.52}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 292.15, 'pressure': 1018, 'humidity': 82, 'temp_min': 292.15, 'temp_max': 292.15}",10000,"{'speed': 6.2, 'deg': 260}",{'all': 40},1574807327,"{'type': 1, 'id': 6883, 'country': 'PT', 'sunrise': 1574758093, 'sunset': 1574793371}",-3600,3372707,Ribeira Grande,,
rikitea,"{'lon': -134.97, 'lat': -23.12}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",model,"{'temp': 296.82, 'pressure': 1015, 'humidity': 75, 'temp_min': 296.82, 'temp_max': 296.82, 'sea_level': 1015, 'grnd_level': 1015}",,"{'speed': 3.77, 'deg': 77}",{'all': 81},1574807328,"{'country': 'PF', 'sunrise': 1574777149, 'sunset': 1574825336}",-32400,4030556,Rikitea,,
carnarvon,"{'lon': 22.13, 'lat': -30.97}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 292.72, 'pressure': 1013, 'humidity': 5, 'temp_min': 292.72, 'temp_max': 292.72, 'sea_level': 1013, 'grnd_level': 871}",,"{'speed': 3.11, 'deg': 215}",{'all': 0},1574807329,"{'country': 'ZA', 'sunrise': 1574824886, 'sunset': 1574875012}",7200,1014034,Carnarvon,,
vuktyl,"{'lon': 57.31, 'lat': 63.86}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",model,"{'temp': 264.42, 'pressure': 1011, 'humidity': 94, 'temp_min': 264.42, 'temp_max': 264.42, 'sea_level': 1011, 'grnd_level': 997}",,"{'speed': 4.19, 'deg': 201}",{'all': 99},1574807330,"{'country': 'RU', 'sunrise': 1574831537, 'sunset': 1574851471}",10800,470905,Vuktyl,,{'3h': 0.38}
port elizabeth,"{'lon': -74.98, 'lat': 39.31}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 284.65, 'pressure': 1017, 'humidity': 66, 'temp_min': 282.59, 'temp_max': 287.15}",16093,"{'speed': 1.87, 'deg': 190}",{'all': 1},1574807331,"{'type': 1, 'id': 4902, 'country': 'US', 'sunrise': 1574769330, 'sunset': 1574804353}",-18000,4501427,Port Elizabeth,,
bredasdorp,"{'lon': 20.04, 'lat': -34.53}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 286.7, 'pressure': 1016, 'humidity': 87, 'temp_min': 286.15, 'temp_max': 287.04}",,"{'speed': 1, 'deg': 40}",{'all': 0},1574807333,"{'type': 1, 'id': 1966, 'country': 'ZA', 'sunrise': 1574824894, 'sunset': 1574876008}",7200,1015776,Bredasdorp,,
puerto ayora,"{'lon': -90.35, 'lat': -0.74}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 297.3, 'pressure': 1006, 'humidity': 61, 'temp_min': 294.82, 'temp_max': 300.15}",10000,"{'speed': 6.7, 'deg': 320}",{'all': 30},1574807335,"{'type': 1, 'id': 8521, 'country': 'EC', 'sunrise': 1574768650, 'sunset': 1574812413}",-21600,3652764,Puerto Ayora,,
beloha,"{'lon': 45.06, 'lat': -25.17}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 295.41, 'pressure': 1014, 'humidity': 87, 'temp_min': 295.41, 'temp_max': 295.41, 'sea_level': 1014, 'grnd_level': 992}",,"{'speed': 3.54, 'deg': 147}",{'all': 8},1574807336,"{'country': 'MG', 'sunrise': 1574820104, 'sunset': 1574868786}",10800,1067565,Beloha,,
hasaki,"{'lon': 140.83, 'lat': 35.73}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 280.65, 'pressure': 1024, 'humidity': 87, 'temp_min': 280.15, 'temp_max': 281.15}",10000,"{'speed': 3.1, 'deg': 320}",{'all': 75},1574807337,"{'type': 1, 'id': 7955, 'country': 'JP', 'sunrise': 1574803429, 'sunset': 1574839481}",32400,2112802,Hasaki,,
cape town,"{'lon': 18.42, 'lat': -33.93}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 290.06, 'pressure': 1015, 'humidity': 82, 'temp_min': 288.71, 'temp_max': 291.48}",10000,"{'speed': 6.2, 'deg': 190}",{'all': 0},1574807235,"{'type': 1, 'id': 1899, 'country': 'ZA', 'sunrise': 1574825369, 'sunset': 1574876311}",7200,3369157,Cape Town,,
norman wells,"{'lon': -126.83, 'lat': 65.28}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 249.15, 'pressure': 1038, 'humidity': 83, 'temp_min': 249.15, 'temp_max': 249.15}",32186,"{'speed': 2.1, 'deg': 140}",{'all': 20},1574807341,"{'type': 1, 'id': 951, 'country': 'CA', 'sunrise': 1574790315, 'sunset': 1574808262}",-25200,6089245,Norman Wells,,
kahului,"{'lon': -156.47, 'lat': 20.89}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 301.36, 'pressure': 1014, 'humidity': 43, 'temp_min': 299.15, 'temp_max': 305.15}",16093,{'speed': 2.6},{'all': 20},1574807342,"{'type': 1, 'id': 7879, 'country': 'US', 'sunrise': 1574786591, 'sunset': 1574826216}",-36000,5847411,Kahului,,
vao,"{'lon': 26.19, 'lat': 59.1}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 269.62, 'pressure': 1011, 'humidity': 84, 'temp_min': 269.62, 'temp_max': 269.62, 'sea_level': 1011, 'grnd_level': 998}",,"{'speed': 2.47, 'deg': 196}",{'all': 100},1574807343,"{'country': 'EE', 'sunrise': 1574836449, 'sunset': 1574861500}",7200,588365,Vao,,
busselton,"{'lon': 115.35, 'lat': -33.64}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 286.22, 'pressure': 1010, 'humidity': 52, 'temp_min': 284.26, 'temp_max': 289.82}",,"{'speed': 5.05, 'deg': 134}",{'all': 85},1574807345,"{'type': 3, 'id': 2011706, 'country': 'AU', 'sunrise': 1574802152, 'sunset': 1574852991}",28800,2075265,Busselton,,
makakilo city,"{'lon': -158.09, 'lat': 21.35}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 302.12, 'pressure': 1015, 'humidity': 65, 'temp_min': 301.15, 'temp_max': 303.15}",16093,"{'speed': 5.7, 'deg': 90, 'gust': 7.7}",{'all': 20},1574807346,"{'type': 1, 'id': 7866, 'country': 'US', 'sunrise': 1574787028, 'sunset': 1574826556}",-36000,5850554,Makakilo City,,
thompson,"{'lon': -97.86, 'lat': 55.74}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,"{'temp': 266.15, 'pressure': 1022, 'humidity': 92, 'temp_min': 266.15, 'temp_max': 266.15}",24140,"{'speed': 3.1, 'deg': 60}",{'all': 90},1574807347,"{'type': 1, 'id': 935, 'country': 'CA', 'sunrise': 1574778482, 'sunset': 1574806186}",-21600,6165406,Thompson,,
altus,"{'lon': -99.33, 'lat': 34.64}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 291.96, 'pressure': 1002, 'humidity': 18, 'temp_min': 290.15, 'temp_max': 293.15}",16093,"{'speed': 13.9, 'deg': 280, 'gust': 21.1}",{'all': 40},1574807348,"{'type': 1, 'id': 3369, 'country': 'US', 'sunrise': 1574774497, 'sunset': 1574810877}",-21600,4529292,Altus,,
airai,"{'lon': 125.41, 'lat': -8.93}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 291.3, 'pressure': 1009, 'humidity': 82, 'temp_min': 291.3, 'temp_max': 291.3, 'sea_level': 1009, 'grnd_level': 904}",,"{'speed': 1.28, 'deg': 16}",{'all': 5},1574807350,"{'country': 'TL', 'sunrise': 1574802510, 'sunset': 1574847803}",32400,1651810,Airai,,
