,coord,weather,base,main,wind,clouds,dt,sys,timezone,id,name,visibility,snow,rain
mataura,"{'lon': 168.86, 'lat': -46.19}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 286.48, 'pressure': 1005, 'humidity': 87, 'temp_min': 286.48, 'temp_max': 286.48}","{'speed': 8.94, 'deg': 226, 'gust': 16.99}",{'all': 83},1574534124,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1574528065, 'sunset': 1574582878}",46800,6201424,Mataura,,,
atuona,"{'lon': -139.03, 'lat': -9.8}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 299.6, 'pressure': 1010, 'humidity': 75, 'temp_min': 299.6, 'temp_max': 299.6, 'sea_level': 1010, 'grnd_level': 1010}","{'speed': 7.22, 'deg': 72}",{'all': 3},1574534125,"{'country': 'PF', 'sunrise': 1574520264, 'sunset': 1574565661}",-34200,4020109,Atuona,,,
thai binh,"{'lon': 106.33, 'lat': 20.45}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 297.15, 'pressure': 1014, 'humidity': 88, 'temp_min': 297.15, 'temp_max': 297.15}","{'speed': 2.6, 'deg': 110}",{'all': 20},1574534126,"{'type': 1, 'id': 9302, 'country': 'VN', 'sunrise': 1574550569, 'sunset': 1574590395}",25200,1566346,Thai Binh,9000,,
pryazha,"{'lon': 33.62, 'lat': 61.69}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 262.15, 'pressure': 1033, 'humidity': 92, 'temp_min': 262.15, 'temp_max': 262.15}",{'speed': 1},{'all': 67},1574534127,"{'type': 1, 'id': 8929, 'country': 'RU', 'sunrise': 1574489697, 'sunset': 1574513340}",10800,504409,Pryazha,10000,,
saskylakh,"{'lon': 114.09, 'lat': 71.97}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 243.2, 'pressure': 1017, 'humidity': 99, 'temp_min': 243.2, 'temp_max': 243.2, 'sea_level': 1017, 'grnd_level': 1005}","{'speed': 1.06, 'deg': 113}",{'all': 98},1574534130,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",32400,2017155,Saskylakh,,,
turan,"{'lon': 93.92, 'lat': 52.15}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 251.44, 'pressure': 1047, 'humidity': 88, 'temp_min': 251.44, 'temp_max': 251.44, 'sea_level': 1047, 'grnd_level': 908}","{'speed': 1.58, 'deg': 138}",{'all': 47},1574534131,"{'country': 'RU', 'sunrise': 1574558345, 'sunset': 1574588577}",25200,1488950,Turan,,,
golyshmanovo,"{'lon': 68.37, 'lat': 56.4}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",model,"{'temp': 265.58, 'pressure': 1023, 'humidity': 95, 'temp_min': 265.58, 'temp_max': 265.58, 'sea_level': 1023, 'grnd_level': 1008}","{'speed': 3.05, 'deg': 235}",{'all': 100},1574534132,"{'country': 'RU', 'sunrise': 1574479211, 'sunset': 1574507143}",18000,1506422,Golyshmanovo,,{'3h': 1.31},
ushuaia,"{'lon': -68.31, 'lat': -54.81}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 296.15, 'pressure': 1002, 'humidity': 51, 'temp_min': 296.15, 'temp_max': 296.15}","{'speed': 12.3, 'deg': 340, 'gust': 20.6}",{'all': 100},1574533882,"{'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1574496346, 'sunset': 1574555627}",-10800,3833367,Ushuaia,10000,,
pisco,"{'lon': -76.2, 'lat': -13.71}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 294.36, 'pressure': 1013, 'humidity': 30, 'temp_min': 293.71, 'temp_max': 295.15}","{'speed': 6.7, 'deg': 220}",{'all': 75},1574534134,"{'type': 1, 'id': 8691, 'country': 'PE', 'sunrise': 1574504816, 'sunset': 1574550944}",-18000,3932145,Pisco,10000,,
brokopondo,"{'lon': -54.98, 'lat': 5.06}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 306.03, 'pressure': 1009, 'humidity': 55, 'temp_min': 305.93, 'temp_max': 306.15}","{'speed': 3.6, 'deg': 130}",{'all': 40},1574534136,"{'type': 1, 'id': 8663, 'country': 'SR', 'sunrise': 1574501424, 'sunset': 1574544149}",-10800,3384482,Brokopondo,10000,,
debica,"{'lon': 21.41, 'lat': 50.05}","[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",stations,"{'temp': 275.52, 'pressure': 1018, 'humidity': 79, 'temp_min': 273.15, 'temp_max': 278.71}","{'speed': 8.7, 'deg': 100}",{'all': 90},1574534137,"{'type': 1, 'id': 1711, 'country': 'PL', 'sunrise': 1574488761, 'sunset': 1574520137}",3600,773380,Debica,5000,,
raudeberg,"{'lon': 5.14, 'lat': 61.99}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 279.61, 'pressure': 1016, 'humidity': 70, 'temp_min': 279.15, 'temp_max': 280.37}","{'speed': 4.1, 'deg': 70}",{'all': 51},1574534138,"{'type': 1, 'id': 1616, 'country': 'NO', 'sunrise': 1574496697, 'sunset': 1574520012}",3600,3146487,Raudeberg,,,
jamestown,"{'lon': 138.6, 'lat': -33.21}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 282.84, 'pressure': 1018, 'humidity': 79, 'temp_min': 282.84, 'temp_max': 282.84, 'sea_level': 1018, 'grnd_level': 961}","{'speed': 2.4, 'deg': 70}",{'all': 0},1574534139,"{'country': 'AU', 'sunrise': 1574537489, 'sunset': 1574587981}",37800,2069194,Jamestown,,,
busselton,"{'lon': 115.35, 'lat': -33.64}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 284.41, 'pressure': 1008, 'humidity': 56, 'temp_min': 283.15, 'temp_max': 286.48}","{'speed': 4.8, 'deg': 150}",{'all': 37},1574534140,"{'type': 3, 'id': 2011706, 'country': 'AU', 'sunrise': 1574543009, 'sunset': 1574593623}",28800,2075265,Busselton,,,
aykhal,"{'lon': 111.51, 'lat': 65.95}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,"{'temp': 244.15, 'pressure': 1007, 'humidity': 68, 'temp_min': 244.15, 'temp_max': 244.15}","{'speed': 1, 'deg': 240}",{'all': 90},1574534141,"{'type': 1, 'id': 8846, 'country': 'RU', 'sunrise': 1574560308, 'sunset': 1574578168}",32400,2027296,Aykhal,2500,,
ponta do sol,"{'lon': -46, 'lat': -20.63}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 300.82, 'pressure': 1009, 'humidity': 59, 'temp_min': 300.82, 'temp_max': 300.82, 'sea_level': 1009, 'grnd_level': 913}","{'speed': 4.33, 'deg': 261}",{'all': 13},1574534143,"{'country': 'BR', 'sunrise': 1574496879, 'sunset': 1574544382}",-10800,3453439,Ponta do Sol,,,{'3h': 2.63}
