,Latitude,Humidity (%)
mataura,-46.19,87
atuona,-9.8,75
thai binh,20.45,88
pryazha,61.69,92
saskylakh,71.97,99
turan,52.15,88
golyshmanovo,56.4,95
ushuaia,-54.81,51
pisco,-13.71,30
brokopondo,5.06,55
debica,50.05,79
raudeberg,61.99,70
jamestown,-33.21,79
busselton,-33.64,56
aykhal,65.95,68
ponta do sol,-20.63,59
talnakh,69.49,83
avarua,-21.21,94
kapaa,22.08,94
georgetown,6.8,79
opuwo,-18.06,21
pacific grove,36.62,51
east london,-33.02,94
mahebourg,-20.41,88
luanda,-8.83,74
borgarnes,64.54,86
coria,39.98,71
klaksvik,62.23,100
cape town,-33.93,82
vila franca do campo,37.72,88
rikitea,-23.12,65
hobart,-42.88,53
barquisimeto,10.07,55
upernavik,72.79,60
faanui,-16.48,78
lebu,8.96,82
komsomolskiy,67.55,85
punta arenas,-53.16,45
vaini,15.34,64
tessalit,20.2,12
bambous virieux,-20.34,88
mildura,-34.18,58
kailua,21.39,74
borazjan,29.27,52
hilo,19.71,88
cherskiy,68.75,95
batagay,67.65,94
mar del plata,-46.43,45
faya,18.39,93
cairns,-16.92,88
bathsheba,13.22,62
puerto ayora,-0.74,57
tasiilaq,65.61,67
batticaloa,7.71,93
pontianak,-0.02,96
chapais,49.78,92
saint george,39.45,82
butaritari,3.07,67
bredasdorp,-34.53,63
oriximina,-1.77,67
port hueneme,34.15,28
bluff,-23.58,89
kodiak,39.95,60
kavieng,-2.57,77
hermanus,-34.42,83
lagoa,37.14,71
floro,61.6,70
port alfred,-33.59,83
guarapari,-20.67,62
myaundzha,63.05,98
yellowknife,62.45,100
chulman,56.84,99
marshall,39.12,69
kenai,60.55,69
clyde river,70.47,100
ceres,-15.31,78
port elizabeth,39.31,36
nanortalik,60.14,65
deli tua,3.5,94
ribeira grande,38.52,88
saint-philippe,45.36,64
rio gallegos,-51.62,41
severo-kurilsk,50.68,98
vestmannaeyjar,63.44,81
antofagasta,-23.65,68
cidreira,-30.17,68
huayang,23.62,95
nuuk,64.17,69
saint-francois,46.42,87
bethel,60.79,100
ilulissat,69.22,64
winsum,53.33,81
lantawan,10.62,83
albany,42.65,42
arzachena,41.08,87
port hedland,-20.31,74
ahuimanu,21.44,74
erice,38.04,60
port hardy,50.7,93
husavik,50.56,84
tamandare,-8.28,66
qaanaaq,77.48,71
araouane,18.9,10
castro,-42.48,67
berlevag,70.86,78
nyimba,-14.56,70
khatanga,71.98,99
hovd,63.83,89
bull savanna,17.89,66
pevek,69.7,91
tiksi,71.64,89
thompson,55.74,92
saldanha,41.42,83
jumla,29.28,66
tres arroyos,-38.38,13
zhigansk,66.77,96
watertown,44.9,65
yasnyy,64.04,95
taksimo,56.36,83
yangambi,0.77,97
le port,42.87,80
vila velha,-3.71,62
tuatapere,-46.13,87
saint pete beach,27.73,65
provideniya,64.42,85
chaiya,29.28,47
seddon,-37.81,81
ancud,-41.87,67
ust-kuyga,70.0,97
boa vista,2.82,57
kamenka,48.03,84
hithadhoo,-0.6,76
marilia,-8.64,65
stralsund,54.31,86
antalaha,-14.9,83
tura,64.27,97
olovyannaya,50.94,83
carnarvon,-30.97,16
chaihe,44.77,71
camacha,33.08,77
lorengau,-2.02,77
starkville,33.45,87
shenzhen,22.54,78
chumikan,54.72,68
riverton,43.02,92
yebaishou,41.4,45
sri aman,1.24,94
rincon,8.46,62
vao,59.1,49
neiafu,-18.65,94
hualmay,-11.1,55
borogontsy,62.67,98
santo antonio do sudoeste,-26.07,58
mayumba,-3.44,84
salamiyah,35.01,35
sisimiut,66.94,71
oussouye,12.49,66
lompoc,34.64,55
bundaberg,-24.87,82
new norfolk,-42.78,53
kalmunai,7.42,73
quatre cocos,-20.21,88
kununurra,-15.77,65
tarrafal,15.28,54
meulaboh,4.14,81
inuvik,68.36,84
leningradskiy,69.38,96
kahului,20.89,74
atambua,-9.11,82
port blair,11.67,69
gorontalo,0.54,93
yatou,3.63,83
moose factory,51.26,86
panama city,30.16,73
longyearbyen,78.22,72
sitka,37.17,49
bat yam,32.02,67
chokurdakh,70.62,98
boddam,57.47,93
careiro da varzea,-3.2,66
mao,19.55,48
erzin,36.95,43
necochea,-38.55,50
evensk,61.92,78
port-gentil,-0.72,88
carlsbad,50.23,93
tambun,-6.26,83
