,Latitude,Temperature
mataura,-46.19,55.99400000000007
atuona,-9.8,79.61000000000008
thai binh,20.45,75.2
pryazha,61.69,12.2
saskylakh,71.97,-21.909999999999982
turan,52.15,-7.077999999999967
golyshmanovo,56.4,18.37400000000001
ushuaia,-54.81,73.4
pisco,-13.71,70.17800000000007
brokopondo,5.06,91.184
debica,50.05,36.266000000000005
raudeberg,61.99,43.628000000000064
jamestown,-33.21,49.44199999999999
busselton,-33.64,52.268000000000086
aykhal,65.95,-20.199999999999953
ponta do sol,-20.63,81.80600000000004
talnakh,69.49,-9.399999999999949
avarua,-21.21,75.2
kapaa,22.08,74.84000000000003
georgetown,6.8,84.07400000000001
opuwo,-18.06,79.73600000000008
pacific grove,36.62,59.37800000000007
east london,-33.02,68.0
mahebourg,-20.41,78.90800000000002
luanda,-8.83,78.80000000000001
borgarnes,64.54,36.62600000000009
coria,39.98,48.236000000000075
klaksvik,62.23,44.6
cape town,-33.93,62.94199999999999
vila franca do campo,37.72,68.0
rikitea,-23.12,71.834
hobart,-42.88,49.424000000000014
barquisimeto,10.07,80.24000000000002
upernavik,72.79,22.766000000000005
faanui,-16.48,80.87000000000006
lebu,8.96,60.8
komsomolskiy,67.55,7.448000000000025
punta arenas,-53.16,66.75800000000001
vaini,15.34,66.07400000000001
tessalit,20.2,78.29600000000005
bambous virieux,-20.34,78.90800000000002
mildura,-34.18,54.08600000000007
kailua,21.39,77.792
borazjan,29.27,66.2
hilo,19.71,68.66600000000001
cherskiy,68.75,-25.491999999999948
batagay,67.65,-37.083999999999946
mar del plata,-46.43,64.36400000000003
faya,18.39,59.05400000000006
cairns,-16.92,68.07200000000003
bathsheba,13.22,87.80000000000001
puerto ayora,-0.74,74.984
tasiilaq,65.61,23.0
batticaloa,7.71,74.3180000000001
pontianak,-0.02,74.084
chapais,49.78,21.2
saint george,39.45,58.424000000000014
butaritari,3.07,83.57000000000006
bredasdorp,-34.53,64.90400000000005
oriximina,-1.77,85.76600000000002
port hueneme,34.15,68.0
bluff,-23.58,67.424
kodiak,39.95,42.26000000000008
kavieng,-2.57,81.392
hermanus,-34.42,64.00400000000005
lagoa,37.14,57.56000000000009
floro,61.6,40.26200000000006
port alfred,-33.59,68.0
guarapari,-20.67,85.78399999999999
myaundzha,63.05,-20.09199999999995
yellowknife,62.45,23.0
chulman,56.84,-20.811999999999955
marshall,39.12,40.19000000000002
kenai,60.55,34.610000000000085
clyde river,70.47,19.4
ceres,-15.31,74.13800000000005
port elizabeth,39.31,44.24000000000002
nanortalik,60.14,34.23200000000001
deli tua,3.5,77.0
ribeira grande,38.52,68.0
saint-philippe,45.36,34.628000000000064
rio gallegos,-51.62,60.8
severo-kurilsk,50.68,30.398000000000025
vestmannaeyjar,63.44,42.8
antofagasta,-23.65,69.80000000000001
cidreira,-30.17,68.108
huayang,23.62,59.95400000000005
nuuk,64.17,37.18399999999999
saint-francois,46.42,48.07400000000001
bethel,60.79,18.95
ilulissat,69.22,32.108000000000004
winsum,53.33,44.978000000000065
lantawan,10.62,80.6
albany,42.65,39.398000000000025
arzachena,41.08,57.95600000000003
port hedland,-20.31,78.80000000000001
ahuimanu,21.44,77.792
erice,38.04,64.02200000000005
port hardy,50.7,46.4
husavik,50.56,33.998000000000026
tamandare,-8.28,82.59800000000003
qaanaaq,77.48,9.590000000000021
araouane,18.9,76.96400000000003
castro,-42.48,60.8
berlevag,70.86,37.61600000000001
nyimba,-14.56,74.28200000000001
khatanga,71.98,-17.733999999999945
hovd,63.83,38.102000000000075
bull savanna,17.89,78.7100000000001
pevek,69.7,-8.22999999999994
tiksi,71.64,-24.753999999999955
thompson,55.74,26.6
saldanha,41.42,44.15
jumla,29.28,39.056000000000026
tres arroyos,-38.38,80.33000000000004
zhigansk,66.77,-19.641999999999946
watertown,44.9,42.872000000000035
yasnyy,64.04,18.464000000000034
taksimo,56.36,-20.91999999999996
yangambi,0.77,69.53000000000004
le port,42.87,43.88000000000004
vila velha,-3.71,84.65
tuatapere,-46.13,55.99400000000007
saint pete beach,27.73,78.44000000000003
provideniya,64.42,2.1919999999999966
chaiya,29.28,67.424
seddon,-37.81,47.89400000000008
ancud,-41.87,60.8
ust-kuyga,70.0,-24.897999999999975
boa vista,2.82,87.47600000000008
kamenka,48.03,24.998000000000026
hithadhoo,-0.6,83.174
marilia,-8.64,84.434
stralsund,54.31,41.0
antalaha,-14.9,81.26600000000002
tura,64.27,-15.195999999999948
olovyannaya,50.94,-3.9639999999999844
carnarvon,-30.97,71.00600000000003
chaihe,44.77,21.398000000000025
camacha,33.08,69.00800000000001
lorengau,-2.02,83.12000000000006
starkville,33.45,49.15400000000005
shenzhen,22.54,70.28600000000007
chumikan,54.72,0.8780000000000641
riverton,43.02,18.95
yebaishou,41.4,31.04600000000005
sri aman,1.24,75.07400000000001
rincon,8.46,77.01800000000009
vao,59.1,25.502000000000077
neiafu,-18.65,73.4
hualmay,-11.1,73.76000000000008
borogontsy,62.67,-28.60599999999998
santo antonio do sudoeste,-26.07,82.65200000000007
mayumba,-3.44,80.29400000000007
salamiyah,35.01,54.518000000000086
sisimiut,66.94,27.104000000000052
oussouye,12.49,86.91800000000009
lompoc,34.64,66.308
bundaberg,-24.87,68.19800000000004
new norfolk,-42.78,49.13600000000007
kalmunai,7.42,82.63399999999999
quatre cocos,-20.21,78.90800000000002
kununurra,-15.77,82.4
tarrafal,15.28,80.6
meulaboh,4.14,80.22200000000004
inuvik,68.36,1.580000000000041
leningradskiy,69.38,-4.395999999999951
kahului,20.89,75.41600000000001
atambua,-9.11,73.68800000000005
port blair,11.67,81.91400000000004
gorontalo,0.54,74.084
yatou,3.63,82.4
moose factory,51.26,33.8
panama city,30.16,77.03600000000007
longyearbyen,78.22,17.6
sitka,37.17,50.0
bat yam,32.02,59.37800000000007
chokurdakh,70.62,-21.04599999999995
boddam,57.47,46.742
careiro da varzea,-3.2,84.97400000000002
mao,19.55,84.75800000000001
erzin,36.95,55.814000000000036
necochea,-38.55,64.00400000000005
