,Latitude,Wind Speed (mph)
mataura,-46.19,19.99820784
atuona,-9.8,16.15067792
thai binh,20.45,5.8160336
pryazha,61.69,2.236936
saskylakh,71.97,2.3711521600000003
turan,52.15,3.53435888
golyshmanovo,56.4,6.8226548
ushuaia,-54.81,27.514312800000003
pisco,-13.71,14.9874712
brokopondo,5.06,8.0529696
debica,50.05,19.461343199999998
raudeberg,61.99,9.171437599999999
jamestown,-33.21,5.3686464
busselton,-33.64,10.7372928
aykhal,65.95,2.236936
ponta do sol,-20.63,9.685932880000001
talnakh,69.49,13.421616
avarua,-21.21,4.6975656
kapaa,22.08,21.921972800000002
georgetown,6.8,11.4083736
opuwo,-18.06,12.638688400000001
pacific grove,36.62,3.355404
east london,-33.02,3.355404
mahebourg,-20.41,1.87902624
luanda,-8.83,8.0529696
borgarnes,64.54,7.85164536
coria,39.98,1.99087304
klaksvik,62.23,1.118468
cape town,-33.93,8.0529696
vila franca do campo,37.72,13.8690032
rikitea,-23.12,8.7240504
hobart,-42.88,8.0529696
barquisimeto,10.07,5.59234
upernavik,72.79,11.27415744
faanui,-16.48,16.8888668
lebu,8.96,13.8690032
komsomolskiy,67.55,2.9080168
punta arenas,-53.16,11.4083736
vaini,15.34,7.62795176
tessalit,20.2,9.171437599999999
bambous virieux,-20.34,11.922868880000001
mildura,-34.18,5.8160336
kailua,21.39,11.4083736
borazjan,29.27,3.10934104
hilo,19.71,8.0529696
cherskiy,68.75,7.62795176
batagay,67.65,2.66195384
mar del plata,-46.43,12.9742288
faya,18.39,3.33303464
cairns,-16.92,10.043842640000001
bathsheba,13.22,14.9874712
puerto ayora,-0.74,14.9874712
tasiilaq,65.61,3.355404
batticaloa,7.71,2.5724763999999998
pontianak,-0.02,2.30404408
chapais,49.78,13.8690032
saint george,39.45,5.033106
butaritari,3.07,9.37276184
bredasdorp,-34.53,12.7505352
oriximina,-1.77,6.35289824
port hueneme,34.15,18.342875199999998
bluff,-23.58,8.567464880000001
kodiak,39.95,9.171437599999999
kavieng,-2.57,8.70168104
hermanus,-34.42,1.0066212
lagoa,37.14,10.289905599999999
floro,61.6,9.171437599999999
port alfred,-33.59,1.99087304
guarapari,-20.67,9.171437599999999
myaundzha,63.05,1.47637776
yellowknife,62.45,9.171437599999999
chulman,56.84,3.4001427200000003
marshall,39.12,9.171437599999999
kenai,60.55,12.7505352
clyde river,70.47,23.040440800000002
ceres,-15.31,3.60146696
port elizabeth,39.31,3.5567282400000004
nanortalik,60.14,6.4871144
deli tua,3.5,4.6975656
ribeira grande,38.52,20.803504800000002
saint-philippe,45.36,11.4083736
rio gallegos,-51.62,42.501784
severo-kurilsk,50.68,8.03060024
vestmannaeyjar,63.44,6.9345016
antofagasta,-23.65,18.342875199999998
cidreira,-30.17,18.85737048
huayang,23.62,0.80529696
nuuk,64.17,35.5672824
saint-francois,46.42,2.236936
bethel,60.79,6.9345016
ilulissat,69.22,14.2045436
winsum,53.33,16.1059392
lantawan,10.62,8.0529696
albany,42.65,3.93700736
arzachena,41.08,3.355404
port hedland,-20.31,4.6975656
ahuimanu,21.44,11.4083736
erice,38.04,13.8690032
port hardy,50.7,14.9874712
husavik,50.56,5.01073664
tamandare,-8.28,5.033106
qaanaaq,77.48,9.01485208
araouane,18.9,5.8160336
castro,-42.48,17.2244072
berlevag,70.86,16.083569840000003
nyimba,-14.56,9.64119416
khatanga,71.98,2.95275552
hovd,63.83,8.0529696
bull savanna,17.89,5.435754480000001
pevek,69.7,4.5633494400000005
tiksi,71.64,5.41338512
thompson,55.74,6.9345016
saldanha,41.42,11.989976960000002
jumla,29.28,4.630457519999999
tres arroyos,-38.38,13.69004832
zhigansk,66.77,8.25429384
watertown,44.9,16.1059392
yasnyy,64.04,5.56997064
taksimo,56.36,1.7448100800000002
yangambi,0.77,3.26592656
le port,42.87,133.00821456
vila velha,-3.71,17.2244072
tuatapere,-46.13,19.99820784
saint pete beach,27.73,10.289905599999999
provideniya,64.42,7.359519440000001
chaiya,29.28,6.9345016
seddon,-37.81,2.55010704
ancud,-41.87,17.2244072
ust-kuyga,70.0,7.6055824
boa vista,2.82,3.06460232
kamenka,48.03,1.0066212
hithadhoo,-0.6,8.52272616
marilia,-8.64,9.01485208
