,Latitude,Temperature
faya,18.39,56.31800000000008
kilifi,-3.63,81.10400000000006
verkhnevilyuysk,63.45,-5.943999999999974
bluff,-23.58,73.92200000000004
atuona,-9.8,79.68200000000002
dingzhou,38.51,23.0
hermanus,-34.42,58.67600000000009
ribeira grande,38.52,66.2
rikitea,-23.12,74.60600000000002
carnarvon,-30.97,67.22600000000008
vuktyl,63.86,16.28600000000007
port elizabeth,39.31,52.7
bredasdorp,-34.53,56.39000000000002
puerto ayora,-0.74,75.47000000000006
beloha,-25.17,72.0680000000001
hasaki,35.73,45.5
cape town,-33.93,62.438000000000045
norman wells,65.28,-11.199999999999953
kahului,20.89,82.77800000000008
vao,59.1,25.64600000000005
busselton,-33.64,55.526000000000096
makakilo city,21.35,84.14600000000004
thompson,55.74,19.4
altus,34.64,65.858
airai,-8.93,64.67000000000007
keuruu,62.26,32.41400000000003
mar del plata,-46.43,63.21200000000006
pevek,69.7,17.27600000000009
constitucion,23.99,67.35200000000009
mount isa,-20.73,86.0
luena,-11.78,63.194000000000074
new norfolk,-42.78,55.36400000000003
alice springs,-23.7,75.2
port lincoln,-34.72,52.80800000000001
albany,42.65,44.852000000000075
hambantota,6.12,75.2
nogales,-32.73,69.22400000000002
gaoual,11.75,79.05200000000008
quatre cocos,-20.21,76.4600000000001
broome,52.47,50.504000000000055
zhob,31.34,47.96600000000001
esperance,-33.86,57.2
coihaique,-45.58,45.878000000000064
samarai,-10.62,74.55200000000008
port alfred,-33.59,62.00600000000003
marawi,8.0,73.99400000000009
ulladulla,-35.36,60.35
nikolskoye,59.7,27.482000000000017
vila velha,-3.71,83.12000000000006
vaini,15.34,65.30000000000001
nishihara,35.74,46.77800000000006
hobart,-42.88,55.36400000000003
saint-philippe,45.36,45.122000000000035
miastko,54.0,37.004000000000055
tasiilaq,65.61,26.6
vilyuysk,63.75,-6.915999999999961
batemans bay,-35.71,58.91000000000008
arraial do cabo,-22.97,73.83200000000002
hohoe,7.15,77.19800000000004
warrnambool,-38.38,53.906000000000034
ushuaia,-54.81,48.2
mondovi,44.57,36.01400000000003
gondanglegi,-7.75,72.93200000000002
mugla,41.62,50.0
aldan,58.61,-10.87599999999994
punta arenas,-53.16,51.36800000000009
alzey,49.75,46.346000000000046
twin falls,42.57,33.458000000000006
cidreira,-30.17,69.72800000000007
kapaa,22.08,81.30200000000008
cabo san lucas,22.89,76.51400000000004
nanortalik,60.14,35.45600000000003
akranes,64.32,24.710000000000083
roald,62.58,32.378000000000064
rio gallegos,-51.62,51.8
sao filipe,14.9,73.59800000000003
chuy,-33.69,66.83000000000004
qaanaaq,77.48,6.656000000000027
aasiaat,68.71,17.096000000000046
dikson,73.51,-2.7219999999999374
aloleng,16.13,78.76400000000004
grindavik,63.84,28.31000000000008
mercedes,-33.25,73.00400000000005
lagoa,37.14,60.944000000000074
praia,-20.25,75.34400000000008
luan,46.36,39.938000000000045
aras,42.56,55.544000000000075
ponta do sol,-20.63,69.38600000000008
lorengau,-2.02,83.53399999999999
vardo,39.62,54.41000000000008
bonnyville,54.27,15.8
jalu,29.03,55.544000000000075
kavieng,-2.57,83.37200000000004
tabuk,17.41,75.29000000000002
mataura,-46.19,55.004000000000055
torbay,47.66,37.832000000000015
mwense,-10.39,65.60600000000002
severo-yeniseyskiy,60.37,-5.15199999999998
caravelas,-17.73,71.18600000000006
banda aceh,5.56,73.61600000000001
nadadores,27.03,86.27000000000007
angoche,-16.23,78.42200000000004
severo-kurilsk,50.68,24.404000000000053
udachnyy,66.42,-9.399999999999949
grand gaube,-20.01,76.51400000000004
jamestown,-33.21,70.97000000000006
castro,-42.48,51.8
mahebourg,-20.41,76.40600000000003
tilichiki,60.47,10.544000000000072
dunedin,-45.87,66.00200000000008
hovd,63.83,31.928000000000065
longyearbyen,78.22,5.0
salalah,17.01,77.0
lebu,8.96,55.400000000000006
katsuura,33.93,52.196000000000055
victoria,5.28,77.63000000000005
tiksi,71.64,-18.831999999999965
iqaluit,63.75,32.0
the valley,18.22,81.77000000000007
ilulissat,69.22,14.0
lavrentiya,65.58,29.660000000000082
gornopravdinsk,60.06,1.1300000000000416
calama,-22.46,73.4
sinnamary,5.38,81.62600000000009
geraldton,49.72,21.2
codrington,-28.95,74.69600000000005
la rioja,-29.41,61.772000000000034
batagay-alyta,67.8,-25.563999999999986
labuhan,-2.54,81.24800000000002
clyde river,70.47,15.8
kannur,11.88,75.2
pangnirtung,66.15,37.4
butaritari,3.07,84.68600000000006
tuktoyaktuk,69.44,-0.39999999999994884
khandbari,27.38,41.108000000000004
gorodishche,53.27,17.99600000000005
votkinsk,57.05,19.004000000000055
touros,-5.2,80.6
ancud,-41.87,51.8
sisimiut,66.94,21.2
kostomuksha,64.59,31.874000000000013
brechin,56.73,46.90400000000005
chupa,-15.11,51.8
nacala,-14.56,75.03800000000004
mount gambier,-37.83,53.6
voskresenskoye,56.84,24.29600000000005
cayenne,4.94,82.4
mikun,62.35,20.08399999999999
husavik,50.56,28.994000000000074
flin flon,54.77,21.2
mnogovershinnyy,53.94,-0.0579999999999572
sur,22.57,71.20400000000006
horodyshche,50.76,30.2
riverton,43.02,22.676000000000087
manono,-7.3,68.39600000000004
bethel,60.79,36.788000000000046
mumford,5.26,75.47000000000006
hilo,19.71,78.54800000000003
manawar,22.23,69.65600000000003
isangel,-19.55,86.0
oleksandrivka,48.97,29.57000000000006
alvaraes,-3.22,86.0
nyurba,63.29,-0.2739999999999654
barrow,-38.31,52.97000000000006
emerald,-23.53,80.816
provideniya,64.42,32.0
whitianga,-36.83,80.00600000000003
aykhal,65.95,-9.399999999999949
tapiramuta,-11.85,67.73000000000005
isabela,10.2,76.74800000000002
vredendal,-31.68,63.21200000000006
taltal,-25.41,58.26200000000006
pangkalanbuun,-2.68,79.46600000000001
tabou,4.42,76.87400000000002
bozdar,27.18,66.68600000000006
san quintin,17.54,77.72000000000006
chokurdakh,70.62,-34.63599999999997
leningradskiy,69.38,17.81600000000001
yellowknife,62.45,0.9320000000000164
faanui,-16.48,82.14800000000002
roebourne,-20.77,87.11600000000001
guerrero negro,27.97,71.56400000000004
axim,4.87,76.78399999999999
morlaix,48.58,50.21600000000001
port-cartier,50.03,31.082000000000015
villa constitucion,-33.23,75.41600000000001
yar-sale,66.83,8.132000000000016
mamallapuram,12.63,81.66200000000006
komsomolskiy,67.55,15.13399999999999
hithadhoo,-0.6,82.63399999999999
ahipara,-35.17,71.99600000000005
rocha,-34.48,62.61800000000009
xichang,27.88,40.67600000000009
shu,43.6,10.706000000000028
hualmay,-11.1,64.4
rensvik,63.1,37.4
san patricio,-26.98,72.98600000000008
manzhouli,49.6,-4.539999999999971
lerwick,60.15,46.4
young,-32.7,69.00800000000001
road town,18.42,81.32000000000006
tchibanga,-2.92,72.98600000000008
mecca,21.43,75.48800000000006
la ronge,55.1,17.6
xinpu,27.63,52.71800000000009
la palma,5.36,72.87800000000007
vanavara,60.35,-3.4599999999999795
tezu,27.93,61.57400000000001
lanigan,51.85,19.022000000000034
narsaq,60.91,26.6
san juan del sur,11.25,87.80000000000001
mitu,36.2,31.658000000000005
saskylakh,71.97,-1.5519999999999783
tual,-5.67,82.97600000000008
talnakh,69.49,8.599999999999998
chapais,49.78,28.4
port hardy,50.7,41.0
dingle,11.0,78.38600000000008
qidong,31.81,50.99000000000002
novska,45.34,44.6
shimoda,34.7,48.38000000000004
galle,10.08,71.06000000000009
mezen,65.85,27.788000000000046
maine-soroa,13.21,76.71200000000006
portland,43.66,42.332000000000015
linhares,-19.38,65.30000000000001
cam ranh,11.92,78.80000000000001
baruun-urt,46.68,-4.053999999999952
sigli,5.38,80.69000000000003
tuatapere,-46.13,55.004000000000055
bonthe,7.53,79.79000000000002
arlit,18.74,78.80000000000001
cherskiy,68.75,-10.713999999999984
kodiak,39.95,41.25200000000008
santa isabel,32.63,64.4
san cristobal,14.68,68.43200000000002
kalmunai,7.42,82.47200000000004
trat,12.25,82.00400000000005
ust-uda,54.17,-3.9279999999999617
aklavik,68.22,0.9320000000000164
forest grove,45.52,39.97400000000001
huambo,-12.78,61.268000000000086
svetlaya,46.54,27.95
souillac,45.6,53.20400000000005
luderitz,-26.65,60.8
nioro,13.79,80.834
georgetown,6.8,77.84600000000006
kaitangata,-46.28,57.992
santa isabel do rio negro,-0.41,81.08600000000007
araouane,18.9,71.61800000000008
maralal,1.1,62.38399999999999
moroni,35.09,57.12800000000007
lander,42.83,22.73000000000004
stonewall,50.13,29.191999999999997
oskarshamn,57.26,43.898000000000025
raudeberg,61.99,36.91400000000003
vanimo,-2.67,82.70600000000003
kloulklubed,7.04,83.10200000000009
alvand,36.19,33.8
rincon,8.46,76.65800000000002
sola,-3.17,66.52400000000002
qasigiannguit,68.82,14.0
lubango,-14.92,61.80800000000001
xochihuehuetlan,17.92,73.292
boulder city,35.98,49.02800000000006
garowe,8.41,73.86800000000008
jizan,16.89,77.0
birao,10.3,74.60600000000002
pitimbu,-7.47,80.6
saint anthony,43.97,27.53600000000007
kuryk,43.18,41.72000000000006
san vicente,-0.59,82.4
darayya,33.46,49.478000000000065
khatanga,71.98,9.752000000000077
atar,20.52,68.48600000000008
hamilton,43.26,46.16600000000001
reinosa,43.0,54.932000000000016
chifeng,42.27,8.816000000000006
eureka,40.8,42.42200000000004
beyneu,45.32,27.17600000000009
anderson,34.51,58.85600000000003
florianopolis,-27.6,67.208
east london,-33.02,66.99199999999999
olavarria,-36.89,58.49600000000005
stykkisholmur,65.08,26.78000000000004
richards bay,-28.77,71.6
bambous virieux,-20.34,76.424
saint-joseph,43.56,50.16200000000006
zeya,53.74,-19.911999999999956
mathbaria,22.29,66.434
dandong,40.12,25.141999999999996
dali,34.79,37.92200000000004
bilibino,68.06,-17.175999999999938
miraflores,-16.39,64.4
eyl,7.98,79.73600000000008
avarua,-21.21,75.2
sorland,67.67,36.82400000000001
belyy yar,53.6,1.3999999999999986
oussouye,12.49,77.0
yerbogachen,61.28,1.4180000000000845
shelburne,44.08,41.108000000000004
shevchenkove,49.7,33.8
vazhiny,60.96,24.728000000000065
dicabisagan,17.08,77.21600000000001
tecuala,22.4,78.74600000000005
upernavik,72.79,30.452000000000076
barras,-4.24,80.06000000000009
liwale,-9.8,71.87000000000006
kamaishi,39.28,43.50200000000008
wuan,31.68,40.73000000000004
yeppoon,-23.13,80.6
deputatskiy,69.3,-32.85399999999996
laguna,16.17,86.0
luanda,-8.83,77.39600000000004
tuscaloosa,33.21,66.50600000000003
praya,-8.71,77.0
aksu,52.04,8.599999999999998
najran,17.54,64.4
gimbi,8.81,48.92000000000006
upington,-28.46,75.2
sept-iles,50.2,31.082000000000015
podgornoye,57.79,-0.21999999999996334
oyem,1.6,67.51400000000004
karpathos,35.51,65.15600000000003
botou,38.08,32.0
galesong,-5.32,75.2
vostok,46.45,10.904000000000053
jos,9.92,66.68600000000006
saint-pierre,48.95,49.67600000000009
lokoja,7.8,79.25
