,Latitude,Wind Speed (mph)
faya,18.39,5.8160336
kilifi,-3.63,18.02970416
verkhnevilyuysk,63.45,10.15568944
bluff,-23.58,1.7448100800000002
atuona,-9.8,11.02809448
dingzhou,38.51,8.947744
hermanus,-34.42,1.0066212
ribeira grande,38.52,13.8690032
rikitea,-23.12,8.43324872
carnarvon,-30.97,6.95687096
vuktyl,63.86,9.37276184
port elizabeth,39.31,4.183070320000001
bredasdorp,-34.53,2.236936
puerto ayora,-0.74,14.9874712
beloha,-25.17,7.918753440000001
hasaki,35.73,6.9345016
cape town,-33.93,13.8690032
norman wells,65.28,4.6975656
kahului,20.89,5.8160336
vao,59.1,5.52523192
busselton,-33.64,11.2965268
makakilo city,21.35,12.7505352
thompson,55.74,6.9345016
altus,34.64,31.0934104
airai,-8.93,2.86327808
keuruu,62.26,5.8160336
mar del plata,-46.43,31.876338
pevek,69.7,21.362738800000002
constitucion,23.99,18.342875199999998
mount isa,-20.73,5.8160336
luena,-11.78,2.55010704
new norfolk,-42.78,18.342875199999998
alice springs,-23.7,16.1059392
port lincoln,-34.72,2.52773768
albany,42.65,2.72906192
hambantota,6.12,4.6975656
nogales,-32.73,13.8690032
gaoual,11.75,4.11596224
quatre cocos,-20.21,12.01234632
broome,52.47,6.9345016
zhob,31.34,0.6710808
esperance,-33.86,5.8160336
coihaique,-45.58,6.9345016
samarai,-10.62,4.29491712
port alfred,-33.59,1.0066212
marawi,8.0,5.994988480000001
ulladulla,-35.36,8.0529696
nikolskoye,59.7,4.473872
vila velha,-3.71,9.171437599999999
vaini,15.34,9.9543652
nishihara,35.74,4.6975656
hobart,-42.88,18.342875199999998
saint-philippe,45.36,8.0529696
miastko,54.0,8.99248272
tasiilaq,65.61,9.171437599999999
vilyuysk,63.75,11.520220400000001
batemans bay,-35.71,1.99087304
arraial do cabo,-22.97,13.8690032
hohoe,7.15,3.08697168
warrnambool,-38.38,7.00160968
ushuaia,-54.81,18.342875199999998
mondovi,44.57,13.8690032
gondanglegi,-7.75,2.97512488
mugla,41.62,4.6975656
aldan,58.61,8.81352784
punta arenas,-53.16,26.395844800000003
alzey,49.75,3.355404
twin falls,42.57,8.0529696
cidreira,-30.17,22.50357616
kapaa,22.08,10.289905599999999
cabo san lucas,22.89,3.355404
nanortalik,60.14,3.4001427200000003
akranes,64.32,2.236936
roald,62.58,27.514312800000003
rio gallegos,-51.62,18.342875199999998
sao filipe,14.9,14.517714640000001
chuy,-33.69,2.72906192
qaanaaq,77.48,2.5948457599999997
aasiaat,68.71,5.8160336
dikson,73.51,2.75143128
aloleng,16.13,3.4001427200000003
grindavik,63.84,6.9345016
mercedes,-33.25,17.0007136
lagoa,37.14,5.8160336
praia,-20.25,14.9874712
luan,46.36,6.9345016
aras,42.56,12.7505352
ponta do sol,-20.63,4.42913328
lorengau,-2.02,10.13332008
vardo,39.62,4.6975656
bonnyville,54.27,8.0529696
jalu,29.03,10.53596856
kavieng,-2.57,10.289905599999999
tabuk,17.41,4.29491712
mataura,-46.19,7.00160968
torbay,47.66,29.9749424
mwense,-10.39,1.3421616
severo-yeniseyskiy,60.37,6.68843864
caravelas,-17.73,5.10021408
banda aceh,5.56,4.33965584
nadadores,27.03,17.62705568
angoche,-16.23,4.742304320000001
severo-kurilsk,50.68,13.71241768
udachnyy,66.42,4.473872
grand gaube,-20.01,11.4083736
jamestown,-33.21,9.97673456
castro,-42.48,12.7505352
mahebourg,-20.41,6.8226548
tilichiki,60.47,18.99158664
dunedin,-45.87,14.00321936
hovd,63.83,8.0529696
longyearbyen,78.22,10.289905599999999
salalah,17.01,4.6975656
lebu,8.96,9.171437599999999
katsuura,33.93,4.6975656
victoria,5.28,2.236936
tiksi,71.64,13.44398536
iqaluit,63.75,16.1059392
the valley,18.22,11.4083736
ilulissat,69.22,2.236936
lavrentiya,65.58,38.743731520000004
gornopravdinsk,60.06,7.89638408
calama,-22.46,24.158908800000003
sinnamary,5.38,17.7836412
geraldton,49.72,4.6975656
codrington,-28.95,18.342875199999998
la rioja,-29.41,4.1383316
batagay-alyta,67.8,5.77129488
labuhan,-2.54,1.83428752
clyde river,70.47,10.289905599999999
kannur,11.88,3.355404
pangnirtung,66.15,9.171437599999999
butaritari,3.07,15.52433584
tuktoyaktuk,69.44,11.4083736
khandbari,27.38,5.61470936
gorodishche,53.27,7.40425816
votkinsk,57.05,2.9974942400000004
touros,-5.2,12.7505352
ancud,-41.87,12.7505352
sisimiut,66.94,6.46474504
kostomuksha,64.59,7.47136624
brechin,56.73,12.7505352
chupa,-15.11,16.1059392
nacala,-14.56,2.52773768
mount gambier,-37.83,10.289905599999999
voskresenskoye,56.84,9.0595908
cayenne,4.94,6.9345016
mikun,62.35,8.14244704
husavik,50.56,2.9974942400000004
flin flon,54.77,3.355404
mnogovershinnyy,53.94,11.721544640000001
sur,22.57,12.280778640000001
horodyshche,50.76,4.473872
riverton,43.02,9.171437599999999
manono,-7.3,1.9013956
bethel,60.79,31.0934104
mumford,5.26,3.19881848
hilo,19.71,10.289905599999999
manawar,22.23,5.05547536
isangel,-19.55,13.8690032
oleksandrivka,48.97,5.6818174400000006
alvaraes,-3.22,5.8160336
nyurba,63.29,7.85164536
barrow,-38.31,4.1383316
emerald,-23.53,12.7505352
provideniya,64.42,38.027912
whitianga,-36.83,2.9974942400000004
aykhal,65.95,4.473872
tapiramuta,-11.85,7.02397904
isabela,10.2,6.420006320000001
vredendal,-31.68,2.10271984
taltal,-25.41,3.75805248
pangkalanbuun,-2.68,0.46975656
tabou,4.42,2.39352152
bozdar,27.18,0.49212592
san quintin,17.54,5.301538320000001
chokurdakh,70.62,2.79617
leningradskiy,69.38,7.538474320000001
yellowknife,62.45,4.6975656
faanui,-16.48,16.79938936
roebourne,-20.77,3.60146696
guerrero negro,27.97,5.56997064
axim,4.87,3.66857504
morlaix,48.58,14.9874712
port-cartier,50.03,5.8160336
villa constitucion,-33.23,13.8690032
yar-sale,66.83,13.51109344
mamallapuram,12.63,5.8160336
komsomolskiy,67.55,14.11506616
hithadhoo,-0.6,12.303148
ahipara,-35.17,6.420006320000001
rocha,-34.48,5.748925519999999
xichang,27.88,1.2974228799999998
shu,43.6,2.3487828
hualmay,-11.1,3.98174608
rensvik,63.1,18.342875199999998
san patricio,-26.98,7.717429200000001
manzhouli,49.6,8.366140640000001
lerwick,60.15,18.342875199999998
young,-32.7,1.0066212
road town,18.42,5.8160336
tchibanga,-2.92,1.4540084
mecca,21.43,2.236936
la ronge,55.1,2.236936
xinpu,27.63,1.3421616
la palma,5.36,2.236936
vanavara,60.35,8.5003568
tezu,27.93,2.0803504800000003
lanigan,51.85,7.158195200000001
narsaq,60.91,3.355404
san juan del sur,11.25,4.6975656
mitu,36.2,3.42251208
